id_modulo,id_franja,fecha,tipo_solucion,fuente_ils,vol_aplicado_m3,tasa_riego_lhm2,cu_entrada_gpl,acid_entrada_gpl,fe_total_entrada_gpl,fe2_entrada_gpl,cl_entrada_gpl,sio2_entrada_gpl,mn_entrada_gpl
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-15,refino,,2124.9,8.85,0.32,10.9,1.003,0.348,0.275,0.081,0.071
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-15,refino,,1809.8,7.54,0.318,11.23,1.071,0.322,0.288,0.082,0.073
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-15,refino,,2014.6,8.39,0.309,11.19,1.083,0.364,0.3,0.085,0.071
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-15,refino,,1852.9,7.72,0.327,10.33,1.054,0.338,0.285,0.081,0.08
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-15,refino,,1863.2,7.76,0.313,10.46,1.021,0.366,0.275,0.091,0.07
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-15,ils,PAD-01-C01-F05,2051.7,8.55,1.101,6.48,3.136,1.446,0.514,0.431,0.293
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-15,ils,PAD-01-C01-F05,1976.5,8.24,2.59,7.95,2.104,1.177,0.552,0.41,0.078
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-16,refino,,2100.6,8.75,0.308,10.77,1.013,0.328,0.269,0.082,0.072
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-16,refino,,1868.3,7.78,0.332,10.62,1.007,0.329,0.312,0.078,0.068
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-16,refino,,1913.2,7.97,0.322,10.6,1.042,0.322,0.266,0.083,0.078
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-16,refino,,2132.5,8.89,0.332,10.88,1.034,0.349,0.275,0.085,0.078
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-16,refino,,1919.9,8.0,0.329,10.8,0.99,0.296,0.3,0.09,0.068
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-16,refino,,1939.4,8.08,0.309,10.31,1.086,0.354,0.282,0.08,0.081
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-16,refino,,1894.0,7.89,0.331,10.58,0.904,0.306,0.261,0.087,0.07
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-16,refino,,2090.9,8.71,0.333,11.06,0.895,0.304,0.319,0.08,0.07
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-16,ils,PAD-01-C01-F05,2117.8,8.82,1.401,7.3,3.388,1.054,0.798,0.33,0.126
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-16,ils,PAD-01-C01-F05,2142.8,8.93,1.407,5.82,3.622,1.294,1.039,0.132,0.172
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-17,refino,,1887.4,7.86,0.324,11.07,0.931,0.286,0.318,0.083,0.069
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-17,refino,,1925.6,8.02,0.321,10.95,1.073,0.384,0.299,0.087,0.071
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-17,refino,,2135.1,8.9,0.315,10.39,1.083,0.379,0.279,0.087,0.073
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-17,refino,,1922.3,8.01,0.317,10.42,0.999,0.322,0.291,0.079,0.08
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-17,refino,,2048.0,8.53,0.337,10.39,1.014,0.354,0.28,0.079,0.07
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-17,refino,,1902.3,7.93,0.322,10.63,0.944,0.317,0.264,0.081,0.076
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-17,refino,,1863.6,7.76,0.315,10.49,0.891,0.289,0.264,0.08,0.081
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-17,refino,,2159.5,9.0,0.315,10.61,0.982,0.342,0.308,0.078,0.068
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-17,ils,PAD-01-C01-F05,1959.6,8.17,3.175,8.41,1.768,0.835,0.44,0.374,0.279
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-17,ils,PAD-01-C01-F05,1974.8,8.23,1.208,6.9,2.521,1.37,0.606,0.45,0.118
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-18,refino,,1812.1,7.55,0.333,11.07,1.088,0.344,0.278,0.083,0.079
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-18,refino,,2083.9,8.68,0.323,10.54,1.034,0.361,0.284,0.087,0.072
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-18,refino,,1984.2,8.27,0.325,11.12,1.084,0.349,0.281,0.082,0.068
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-18,refino,,1911.9,7.97,0.311,10.74,0.924,0.292,0.307,0.08,0.075
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-18,refino,,2152.7,8.97,0.326,10.49,0.959,0.318,0.291,0.078,0.073
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-18,refino,,2010.0,8.37,0.317,10.94,0.904,0.285,0.308,0.08,0.075
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-18,refino,,1956.9,8.15,0.318,11.27,0.958,0.296,0.314,0.088,0.076
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-18,refino,,1813.3,7.56,0.312,10.97,0.932,0.287,0.306,0.08,0.067
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-18,ils,PAD-01-C01-F05,1808.0,7.53,2.108,7.09,3.672,1.224,0.477,0.312,0.141
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-18,ils,PAD-01-C01-F05,1985.8,8.27,3.31,6.72,2.538,1.515,0.359,0.473,0.175
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-19,refino,,1795.3,7.48,0.322,10.28,0.905,0.291,0.266,0.08,0.076
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-19,refino,,1916.5,7.99,0.34,11.27,1.006,0.359,0.312,0.081,0.077
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-19,refino,,1848.0,7.7,0.33,10.81,0.894,0.278,0.317,0.081,0.069
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-19,refino,,1868.3,7.78,0.323,11.19,1.041,0.335,0.273,0.076,0.073
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-19,refino,,2118.2,8.83,0.332,10.72,1.008,0.324,0.295,0.084,0.076
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-19,refino,,1995.9,8.32,0.338,10.74,0.894,0.276,0.29,0.085,0.074
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-19,refino,,2078.3,8.66,0.317,11.0,1.03,0.33,0.285,0.079,0.072
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-19,refino,,2107.1,8.78,0.337,10.92,0.95,0.321,0.304,0.081,0.078
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-19,ils,PAD-01-C01-F05,1822.9,7.6,1.027,4.61,1.89,1.065,0.682,0.21,0.157
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-19,ils,PAD-01-C01-F05,1950.9,8.13,1.754,4.69,3.14,1.071,0.998,0.181,0.233
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-20,refino,,2102.5,8.76,0.329,10.4,0.949,0.293,0.287,0.086,0.073
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-20,refino,,1891.0,7.88,0.33,10.91,0.993,0.327,0.274,0.087,0.072
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-20,refino,,1938.4,8.08,0.313,10.92,1.01,0.319,0.311,0.09,0.068
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-20,refino,,2070.5,8.63,0.321,11.36,0.935,0.291,0.287,0.08,0.076
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-20,refino,,1985.2,8.27,0.315,10.82,1.066,0.368,0.29,0.08,0.069
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-20,refino,,2143.6,8.93,0.331,10.9,1.065,0.321,0.301,0.079,0.068
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-20,refino,,1979.1,8.25,0.32,11.29,0.955,0.331,0.305,0.087,0.08
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-20,refino,,1956.1,8.15,0.321,10.45,0.945,0.331,0.289,0.081,0.069
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-20,ils,PAD-01-C01-F05,1986.8,8.28,2.792,5.43,3.394,1.66,1.009,0.2,0.208
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-20,ils,PAD-01-C01-F05,1854.8,7.73,1.909,7.62,3.079,1.097,1.073,0.121,0.199
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-21,refino,,1884.3,7.85,0.316,11.21,0.939,0.297,0.303,0.078,0.069
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-21,refino,,1987.4,8.28,0.316,10.53,0.892,0.283,0.28,0.076,0.075
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-21,refino,,2043.3,8.51,0.31,10.62,1.063,0.352,0.285,0.083,0.069
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-21,refino,,2117.1,8.82,0.338,11.26,0.935,0.293,0.271,0.081,0.071
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-21,refino,,2045.8,8.52,0.314,11.27,0.911,0.268,0.311,0.087,0.071
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-21,refino,,2030.9,8.46,0.315,10.46,0.984,0.311,0.297,0.079,0.076
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-21,refino,,2099.2,8.75,0.313,10.32,0.978,0.336,0.299,0.087,0.072
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-21,refino,,1887.2,7.86,0.325,10.5,1.034,0.317,0.278,0.084,0.073
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-21,ils,PAD-01-C01-F05,2033.0,8.47,2.094,8.6,3.6,2.029,0.867,0.354,0.202
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-21,ils,PAD-01-C01-F05,1966.8,8.2,1.805,6.96,1.564,0.473,1.066,0.119,0.181
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-22,refino,,2191.6,9.13,0.315,11.17,0.922,0.329,0.274,0.083,0.074
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-22,refino,,1841.5,7.67,0.334,10.57,0.999,0.329,0.296,0.077,0.069
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-22,refino,,1857.8,7.74,0.318,10.43,1.073,0.351,0.297,0.082,0.07
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-22,refino,,1994.1,8.31,0.317,10.65,0.98,0.32,0.318,0.079,0.073
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-22,refino,,1853.1,7.72,0.319,11.05,0.925,0.306,0.285,0.076,0.08
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-22,refino,,1958.4,8.16,0.333,10.73,1.076,0.336,0.285,0.088,0.071
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-22,refino,,1938.7,8.08,0.34,10.88,1.027,0.344,0.309,0.09,0.075
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-22,refino,,1910.9,7.96,0.309,10.94,1.054,0.34,0.271,0.08,0.074
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-22,ils,PAD-01-C01-F05,2127.0,8.86,1.429,7.06,3.383,1.965,0.405,0.471,0.2
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-22,ils,PAD-01-C01-F05,2099.1,8.75,1.134,6.53,3.057,1.198,0.688,0.322,0.188
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-23,refino,,1815.6,7.56,0.309,10.52,1.057,0.353,0.294,0.081,0.08
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-23,refino,,1925.5,8.02,0.335,11.25,0.986,0.347,0.277,0.087,0.068
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-23,refino,,1982.4,8.26,0.315,10.34,0.891,0.28,0.295,0.083,0.071
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-23,refino,,2188.6,9.12,0.338,10.41,0.973,0.327,0.304,0.082,0.077
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-23,refino,,1843.0,7.68,0.319,11.05,1.014,0.353,0.264,0.079,0.067
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-23,refino,,1870.1,7.79,0.308,10.82,0.995,0.335,0.284,0.076,0.076
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-23,refino,,1815.2,7.56,0.336,10.3,0.996,0.35,0.294,0.086,0.076
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-23,refino,,1842.3,7.68,0.33,11.23,1.083,0.349,0.281,0.088,0.074
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-23,ils,PAD-01-C01-F05,1896.1,7.9,1.43,4.85,2.648,0.93,0.318,0.121,0.282
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-23,ils,PAD-01-C01-F05,1822.6,7.59,1.183,6.26,2.113,1.244,1.12,0.262,0.162
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-24,refino,,1795.3,7.48,0.314,10.53,1.049,0.37,0.285,0.082,0.077
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-24,refino,,2043.4,8.51,0.314,10.39,0.977,0.323,0.269,0.081,0.071
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-24,refino,,1897.7,7.91,0.323,10.98,0.991,0.304,0.267,0.089,0.073
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-24,refino,,1818.3,7.58,0.316,11.15,1.039,0.364,0.296,0.083,0.073
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-24,refino,,1870.8,7.8,0.329,10.91,0.921,0.323,0.283,0.076,0.071
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-24,refino,,2140.2,8.92,0.338,10.81,1.08,0.378,0.309,0.09,0.072
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-24,refino,,2095.0,8.73,0.327,11.05,0.926,0.316,0.317,0.081,0.081
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-24,refino,,1944.3,8.1,0.314,10.4,1.046,0.345,0.279,0.086,0.071
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-24,ils,PAD-01-C01-F05,1972.2,8.22,3.157,7.34,3.406,1.618,1.192,0.197,0.116
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-24,ils,PAD-01-C01-F05,1830.4,7.63,2.385,7.07,3.315,1.328,0.311,0.353,0.3
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-25,refino,,1955.7,8.15,0.319,10.37,1.016,0.355,0.264,0.078,0.068
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-25,refino,,2033.6,8.47,0.338,10.75,0.959,0.329,0.304,0.08,0.069
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-25,refino,,1936.1,8.07,0.333,11.03,1.022,0.355,0.277,0.081,0.067
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-25,refino,,2139.8,8.92,0.327,10.6,0.904,0.308,0.305,0.087,0.069
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-25,refino,,2157.5,8.99,0.332,10.99,1.019,0.359,0.315,0.086,0.072
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-25,refino,,1938.5,8.08,0.334,10.97,0.906,0.274,0.314,0.09,0.08
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-25,refino,,1964.0,8.18,0.333,11.17,0.953,0.289,0.319,0.076,0.075
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-25,refino,,2052.7,8.55,0.33,10.55,1.033,0.318,0.309,0.079,0.076
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-25,ils,PAD-01-C01-F05,2105.7,8.77,1.472,5.19,3.448,1.123,0.472,0.282,0.283
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-25,ils,PAD-01-C01-F05,2017.5,8.41,1.969,8.89,2.659,1.144,0.67,0.225,0.131
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-26,refino,,2119.6,8.83,0.317,11.11,0.956,0.292,0.303,0.084,0.067
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-26,refino,,2176.1,9.07,0.313,10.66,0.967,0.314,0.307,0.076,0.08
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-26,refino,,2051.0,8.55,0.339,11.16,1.074,0.357,0.282,0.083,0.076
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-26,refino,,1963.7,8.18,0.332,10.38,1.055,0.323,0.316,0.078,0.068
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-26,refino,,2117.1,8.82,0.334,11.08,1.081,0.336,0.309,0.082,0.074
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-26,refino,,1971.1,8.21,0.308,10.9,1.038,0.316,0.315,0.085,0.069
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-26,refino,,2051.0,8.55,0.314,10.35,1.026,0.308,0.267,0.088,0.067
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-26,refino,,2116.3,8.82,0.334,10.43,0.993,0.298,0.298,0.077,0.08
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-26,ils,PAD-01-C01-F05,1876.3,7.82,2.707,4.64,2.024,0.881,0.816,0.5,0.056
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-26,ils,PAD-01-C01-F05,1793.6,7.47,1.876,5.83,3.71,2.128,1.092,0.157,0.153
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-27,refino,,1861.7,7.76,0.324,10.4,1.014,0.355,0.282,0.078,0.072
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-27,refino,,2106.8,8.78,0.327,10.39,0.997,0.323,0.28,0.077,0.081
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-27,refino,,1863.7,7.77,0.314,10.43,1.003,0.323,0.276,0.083,0.076
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-27,refino,,1905.8,7.94,0.338,10.61,0.93,0.331,0.308,0.081,0.079
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-27,refino,,2000.3,8.33,0.319,11.18,1.039,0.325,0.296,0.082,0.066
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-27,refino,,2176.9,9.07,0.326,10.92,1.009,0.332,0.278,0.092,0.075
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-27,refino,,2060.9,8.59,0.323,10.59,0.903,0.286,0.271,0.087,0.079
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-27,refino,,1914.2,7.98,0.319,11.0,0.92,0.326,0.282,0.077,0.069
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-27,ils,PAD-01-C01-F05,2165.3,9.02,1.618,7.31,1.89,0.677,1.091,0.159,0.055
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-27,ils,PAD-01-C01-F05,1993.3,8.31,3.157,5.63,1.82,1.083,0.909,0.44,0.238
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-28,refino,,2108.8,8.79,0.327,10.29,1.003,0.336,0.314,0.083,0.075
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-28,refino,,1982.8,8.26,0.325,10.35,1.068,0.377,0.293,0.085,0.067
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-28,refino,,2031.8,8.47,0.322,11.04,0.9,0.306,0.278,0.087,0.075
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-28,refino,,1883.9,7.85,0.322,11.18,1.01,0.301,0.287,0.081,0.076
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-28,refino,,2038.5,8.49,0.308,10.93,1.036,0.356,0.265,0.081,0.072
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-28,refino,,1865.2,7.77,0.322,10.35,0.913,0.308,0.276,0.088,0.067
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-28,refino,,2017.8,8.41,0.321,11.14,1.046,0.332,0.297,0.079,0.075
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-28,refino,,1825.9,7.61,0.322,10.47,1.065,0.343,0.296,0.082,0.07
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-28,ils,PAD-01-C01-F05,1874.4,7.81,3.28,8.0,1.833,0.961,0.677,0.106,0.182
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-28,ils,PAD-01-C01-F05,1845.3,7.69,1.525,7.48,2.143,1.216,0.891,0.433,0.204
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-29,refino,,1862.6,7.76,0.327,10.73,0.894,0.266,0.273,0.089,0.079
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-29,refino,,2011.0,8.38,0.311,10.85,1.06,0.363,0.278,0.078,0.079
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-29,refino,,2133.9,8.89,0.31,11.17,0.91,0.271,0.305,0.085,0.072
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-29,refino,,2153.8,8.97,0.335,10.34,1.012,0.348,0.293,0.092,0.076
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-29,refino,,1835.0,7.65,0.314,11.17,1.088,0.326,0.267,0.088,0.067
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-29,refino,,1820.8,7.59,0.337,11.14,1.065,0.358,0.28,0.091,0.071
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-29,refino,,1903.3,7.93,0.337,11.01,1.068,0.324,0.317,0.086,0.076
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-29,refino,,2157.8,8.99,0.32,11.05,1.017,0.351,0.313,0.087,0.067
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-29,ils,PAD-01-C01-F05,1866.5,7.78,3.385,8.84,3.919,1.219,0.644,0.404,0.238
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-29,ils,PAD-01-C01-F05,1827.8,7.62,2.524,4.71,2.733,1.016,0.348,0.132,0.278
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-30,refino,,2003.6,8.35,0.315,10.32,1.031,0.339,0.303,0.077,0.081
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-30,refino,,2189.8,9.12,0.323,11.21,0.939,0.321,0.312,0.089,0.078
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-30,refino,,1978.1,8.24,0.334,11.02,0.917,0.276,0.306,0.086,0.074
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-30,refino,,2155.1,8.98,0.329,10.7,0.972,0.324,0.305,0.085,0.074
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-30,refino,,2083.2,8.68,0.331,11.17,0.903,0.309,0.291,0.077,0.076
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-30,refino,,2079.1,8.66,0.325,11.14,0.95,0.291,0.282,0.083,0.076
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-30,refino,,2130.5,8.88,0.331,10.46,0.963,0.292,0.301,0.08,0.074
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-30,refino,,2109.1,8.79,0.33,10.6,0.956,0.321,0.293,0.077,0.079
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-30,ils,PAD-01-C01-F05,1997.8,8.32,2.183,4.99,2.442,0.977,0.544,0.327,0.166
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-30,ils,PAD-01-C01-F05,2147.9,8.95,3.353,5.1,1.75,0.937,1.195,0.445,0.056
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-03-31,refino,,2061.8,8.59,0.319,11.17,1.032,0.311,0.273,0.086,0.07
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-03-31,refino,,1841.1,7.67,0.313,10.46,0.985,0.328,0.271,0.088,0.07
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-03-31,refino,,1917.7,7.99,0.315,11.13,1.08,0.352,0.264,0.08,0.069
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-03-31,refino,,2129.4,8.87,0.311,11.32,1.007,0.329,0.31,0.076,0.078
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-03-31,refino,,1840.0,7.67,0.335,10.85,0.903,0.314,0.263,0.078,0.078
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-03-31,refino,,1978.8,8.24,0.336,10.96,1.014,0.317,0.269,0.092,0.068
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-03-31,refino,,2004.4,8.35,0.317,10.56,1.008,0.348,0.306,0.09,0.071
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-03-31,refino,,1979.1,8.25,0.308,11.08,0.95,0.314,0.271,0.089,0.078
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-03-31,ils,PAD-01-C01-F05,2143.2,8.93,1.115,8.96,2.119,0.833,0.524,0.207,0.188
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-03-31,ils,PAD-01-C01-F05,1889.1,7.87,1.984,7.28,3.59,1.823,0.835,0.159,0.254
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-04-01,refino,,2049.0,8.54,0.326,10.36,1.023,0.321,0.262,0.078,0.074
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-04-01,refino,,1917.2,7.99,0.33,10.54,1.043,0.326,0.297,0.089,0.072
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-04-01,refino,,1812.2,7.55,0.325,11.35,1.082,0.333,0.305,0.081,0.069
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-04-01,refino,,2058.9,8.58,0.324,10.86,1.054,0.332,0.3,0.082,0.067
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-04-01,refino,,1944.2,8.1,0.339,10.8,0.912,0.308,0.317,0.091,0.075
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-04-01,refino,,1943.5,8.1,0.327,11.16,1.061,0.368,0.288,0.078,0.075
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-04-01,refino,,1855.9,7.73,0.31,10.82,1.02,0.356,0.307,0.09,0.077
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-04-01,refino,,2073.8,8.64,0.308,10.95,0.914,0.272,0.27,0.089,0.077
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-04-01,ils,PAD-01-C01-F05,2171.7,9.05,3.447,8.47,1.832,1.033,1.055,0.448,0.088
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-04-01,ils,PAD-01-C01-F05,1840.1,7.67,3.31,4.87,2.422,1.058,0.412,0.108,0.299
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-04-02,refino,,1950.0,8.13,0.311,10.56,0.99,0.318,0.293,0.09,0.07
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-04-02,refino,,1804.5,7.52,0.309,10.42,1.003,0.347,0.313,0.086,0.072
